id,cave,keywords,_details,_creator,_publisher,_publication_year,_rights,_link
Fafanlap_2_-_4,Fafanlap,"misool, fafanlap, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3632
Foora_2_21_22_6_7,Fo'ora,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3633
Foora_2_9_10_7_9,Fo'ora,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3634
Gor_1_1,Gor,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3635
Mampoga_10_1_2_1_2,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3636
Mampoga_10_2_1_2,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3637
Mampoga_1_1_2,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3638
Mampoga_2_18_6,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3639
Mampoga_8_11_13_8,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3640
Mampoga_9_11_12_7_8,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3641
Mampoga_9_5_3,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3642
Mampoga_9_5_6_3_4,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3643
Mampoga_9_8_6_7,Mampoga,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3644
Odi_1_1_1_3,Odi,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3645
Risatot_4_5_1,Risatot,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3649
Risatot_5_1_2_1_5,Risatot,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3650
Risatot_5_3_4_4_5,Risatot,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3651
Safar_2_22_23_9_12,Safar,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3652
Soraa_2_8_14_15,Sora'a,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3653
Tabulinetin_1_2_5_7,Tabulinetin,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3655
Tabulinetin_1_8_9_5_7,Tabulinetin,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3656
Waf_-_-_2_Fisch_unbest,Waf,"misool, waf, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3658
Wamerei_FW3_4_5_1_2,Wamerei,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3660
Wamerei_FW3_5_6_2_4,Wamerei,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3661
Wamerei_FW5_1_1_2,Wamerei,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3662
Wamerei_VW3_8_8_9,Wamerei,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3663
Yaaser_10__-_,Ya'aser,"papua, fakfak, Fisch",Fisch fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3664
Yaaser_12__-__2,Ya'aser,"papua, fakfak, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3665
Yaaser_13_Mitte__-__2,Ya'aser,"papua, fakfak, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3666
Yaaser_13_Mitte__-_,Ya'aser,"papua, fakfak, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3667
Yaaser_14_135_136_17_19,Ya'aser,"papua, fakfak, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3668
Yaaser_14_81_82_14_16,Ya'aser,"papua, fakfak, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3669
